"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"89",4,-2.91658810768625,-2.91658810768625,-2.91658810768625,-2.91658810768625,-2.91658810768625,-2.91658810768625
"90",5,-2.9423676105789,-2.9423676105789,-2.9423676105789,-2.9423676105789,-2.9423676105789,-2.9423676105789
"91",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"92",1,-2.50415575843876,-2.50415575843876,-2.50415575843876,-2.50415575843876,-2.50415575843876,-2.50415575843876
"93",2,-2.57404575296472,-2.57404575296472,-2.57404575296472,-2.57404575296472,-2.57404575296472,-2.57404575296472
"94",3,-2.61677639083927,-2.61677639083927,-2.61677639083927,-2.61677639083927,-2.61677639083927,-2.61677639083927
"95",4,-2.640391990291,-2.640391990291,-2.640391990291,-2.640391990291,-2.640391990291,-2.640391990291
"96",5,-2.65183505082164,-2.65183505082164,-2.65183505082164,-2.65183505082164,-2.65183505082164,-2.65183505082164
"97",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"98",1,-3.53933551906339,-3.53933551906339,-3.53933551906339,-3.53933551906339,-3.53933551906339,-3.53933551906339
"99",2,-3.62104741316844,-3.62104741316844,-3.62104741316844,-3.62104741316844,-3.62104741316844,-3.62104741316844
"100",3,-3.68919790743343,-3.68919790743343,-3.68919790743343,-3.68919790743343,-3.68919790743343,-3.68919790743343
"101",4,-3.74760459841091,-3.74760459841091,-3.74760459841091,-3.74760459841091,-3.74760459841091,-3.74760459841091
"102",5,-3.79880092412012,-3.79880092412012,-3.79880092412012,-3.79880092412012,-3.79880092412012,-3.79880092412012
"103",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"104",1,-2.95873397560695,-2.95873397560695,-2.95873397560695,-2.95873397560695,-2.95873397560695,-2.95873397560695
"105",2,-3.03569034665124,-3.03569034665124,-3.03569034665124,-3.03569034665124,-3.03569034665124,-3.03569034665124
"106",3,-3.09781028655544,-3.09781028655544,-3.09781028655544,-3.09781028655544,-3.09781028655544,-3.09781028655544
"107",4,-3.14983727679838,-3.14983727679838,-3.14983727679838,-3.14983727679838,-3.14983727679838,-3.14983727679838
"108",5,-3.1948623888082,-3.1948623888082,-3.1948623888082,-3.1948623888082,-3.1948623888082,-3.1948623888082
"109",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"110",1,-2.77188995966908,-2.77188995966908,-2.77188995966908,-2.77188995966908,-2.77188995966908,-2.77188995966908
"111",2,-2.84209633945332,-2.84209633945332,-2.84209633945332,-2.84209633945332,-2.84209633945332,-2.84209633945332
"112",3,-2.8929738296891,-2.8929738296891,-2.8929738296891,-2.8929738296891,-2.8929738296891,-2.8929738296891
"113",4,-2.93162399827,-2.93162399827,-2.93162399827,-2.93162399827,-2.93162399827,-2.93162399827
"114",5,-2.96290904887043,-2.96290904887043,-2.96290904887043,-2.96290904887043,-2.96290904887043,-2.96290904887043
"115",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"116",1,-2.50773415370404,-2.50773415370404,-2.50773415370404,-2.50773415370404,-2.50773415370404,-2.50773415370404
"117",2,-2.58261741183757,-2.58261741183757,-2.58261741183757,-2.58261741183757,-2.58261741183757,-2.58261741183757
"118",3,-2.63191970119811,-2.63191970119811,-2.63191970119811,-2.63191970119811,-2.63191970119811,-2.63191970119811
"119",4,-2.66376336480945,-2.66376336480945,-2.66376336480945,-2.66376336480945,-2.66376336480945,-2.66376336480945
"120",5,-2.68496342801822,-2.68496342801822,-2.68496342801822,-2.68496342801822,-2.68496342801822,-2.68496342801822
"121",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"122",1,-3.55048011805315,-3.55048011805315,-3.55048011805315,-3.55048011805315,-3.55048011805315,-3.55048011805315
"123",2,-3.64183859534111,-3.64183859534111,-3.64183859534111,-3.64183859534111,-3.64183859534111,-3.64183859534111
"124",3,-3.71844095780335,-3.71844095780335,-3.71844095780335,-3.71844095780335,-3.71844095780335,-3.71844095780335
"125",4,-3.78432091575539,-3.78432091575539,-3.78432091575539,-3.78432091575539,-3.78432091575539,-3.78432091575539
"126",5,-3.84217259000925,-3.84217259000925,-3.84217259000925,-3.84217259000925,-3.84217259000925,-3.84217259000925
"127",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"128",1,-2.96637068750779,-2.96637068750779,-2.96637068750779,-2.96637068750779,-2.96637068750779,-2.96637068750779
"129",2,-3.05040618230826,-3.05040618230826,-3.05040618230826,-3.05040618230826,-3.05040618230826,-3.05040618230826
"130",3,-3.11918634480732,-3.11918634480732,-3.11918634480732,-3.11918634480732,-3.11918634480732,-3.11918634480732
"131",4,-3.1774933959276,-3.1774933959276,-3.1774933959276,-3.1774933959276,-3.1774933959276,-3.1774933959276
"132",5,-3.22841623447214,-3.22841623447214,-3.22841623447214,-3.22841623447214,-3.22841623447214,-3.22841623447214
"133",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"134",1,-2.7748134867895,-2.7748134867895,-2.7748134867895,-2.7748134867895,-2.7748134867895,-2.7748134867895
"135",2,-2.84857479342435,-2.84857479342435,-2.84857479342435,-2.84857479342435,-2.84857479342435,-2.84857479342435
"136",3,-2.9037498361892,-2.9037498361892,-2.9037498361892,-2.9037498361892,-2.9037498361892,-2.9037498361892
"137",4,-2.94734124487754,-2.94734124487754,-2.94734124487754,-2.94734124487754,-2.94734124487754,-2.94734124487754
"138",5,-2.98398954227058,-2.98398954227058,-2.98398954227058,-2.98398954227058,-2.98398954227058,-2.98398954227058
"139",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"140",1,-2.51154128343401,-2.51154128343401,-2.51154128343401,-2.51154128343401,-2.51154128343401,-2.51154128343401
"141",2,-2.59183116797608,-2.59183116797608,-2.59183116797608,-2.59183116797608,-2.59183116797608,-2.59183116797608
"142",3,-2.64800518783027,-2.64800518783027,-2.64800518783027,-2.64800518783027,-2.64800518783027,-2.64800518783027
"143",4,-2.68804196561882,-2.68804196561882,-2.68804196561882,-2.68804196561882,-2.68804196561882,-2.68804196561882
"144",5,-2.71849135563599,-2.71849135563599,-2.71849135563599,-2.71849135563599,-2.71849135563599,-2.71849135563599
"145",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"146",1,-3.56151281294133,-3.56151281294133,-3.56151281294133,-3.56151281294133,-3.56151281294133,-3.56151281294133
"147",2,-3.66224054703284,-3.66224054703284,-3.66224054703284,-3.66224054703284,-3.66224054703284,-3.66224054703284
"148",3,-3.74691403315104,-3.74691403315104,-3.74691403315104,-3.74691403315104,-3.74691403315104,-3.74691403315104
"149",4,-3.81982312062808,-3.81982312062808,-3.81982312062808,-3.81982312062808,-3.81982312062808,-3.81982312062808
"150",5,-3.88384963069147,-3.88384963069147,-3.88384963069147,-3.88384963069147,-3.88384963069147,-3.88384963069147
"151",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"152",1,-2.9740176648848,-2.9740176648848,-2.9740176648848,-2.9740176648848,-2.9740176648848,-2.9740176648848
"153",2,-3.06512436884356,-3.06512436884356,-3.06512436884356,-3.06512436884356,-3.06512436884356,-3.06512436884356
"154",3,-3.14049997884429,-3.14049997884429,-3.14049997884429,-3.14049997884429,-3.14049997884429,-3.14049997884429
"155",4,-3.20495017016629,-3.20495017016629,-3.20495017016629,-3.20495017016629,-3.20495017016629,-3.20495017016629
"156",5,-3.26156209273047,-3.26156209273047,-3.26156209273047,-3.26156209273047,-3.26156209273047,-3.26156209273047
"157",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"158",1,-2.7778581248173,-2.7778581248173,-2.7778581248173,-2.7778581248173,-2.7778581248173,-2.7778581248173
"159",2,-2.85539523074852,-2.85539523074852,-2.85539523074852,-2.85539523074852,-2.85539523074852,-2.85539523074852
"160",3,-2.91503239295482,-2.91503239295482,-2.91503239295482,-2.91503239295482,-2.91503239295482,-2.91503239295482
