"","tempvect","nichevect","Div","Pruned_Prot"
"691",0,-3.61719503759594,"5",2
"692",1,-3.66644865345084,"5",2
"693",2,-3.7038093888422,"5",2
"694",3,-3.73270556156784,"5",2
"695",4,-3.75556517382118,"5",2
"696",5,-3.77408238618451,"5",2
"697",0,-3.62900097785485,"4",6
"698",1,-3.6779853800757,"4",6
"699",2,-3.71515161406365,"4",6
"700",3,-3.74391872449697,"4",6
"701",4,-3.76670055615453,"4",6
"702",5,-3.78517418888471,"4",6
"703",0,-3.64380982720528,"3",1
"704",1,-3.69246708782388,"3",1
"705",2,-3.72940138027185,"3",1
"706",3,-3.75801897274271,"3",1
"707",4,-3.78071406335567,"3",1
"708",5,-3.79914558882084,"3",1
"709",0,-3.67609844854823,"2",4
"710",1,-3.72417977504463,"2",4
"711",2,-3.7607468825759,"2",4
"712",3,-3.78917236364383,"2",4
"713",4,-3.81181200820471,"2",4
"714",5,-3.83027732107457,"2",4
"715",0,-3.69544614560592,"1",3
"716",1,-3.74310350017303,"1",3
"717",2,-3.77938045057257,"1",3
"718",3,-3.80762671282833,"1",3
"719",4,-3.83016760588518,"1",3
"720",5,-3.84859478137519,"1",3
